passenger_name;city;total_amount
ADELINA FROLOVA;Mojave;3958.24
ADELINA MEDVEDEVA;Little Rock;412.88
ADELINA NAZAROVA;Rochester;686.40
ADELINA SERGEEVA;Daytona Beach;481.52
ADELINA TITOVA;Atlanta;1307.28
AIDA ABRAMOVA;Millville;302.64
AIDA CHERNOVA;Alamogordo;344.24
AIDA MAKAROVA;Atlanta;997.36
AIDA STEPANOVA;Venice;398.32
AIDA VASILEVA;Alamogordo;172.64
ALBERT ABRAMOV;Galveston;741.52
ALBERT ABRAMOV;Louisville;1088.88
ALBERT BARANOV;Little Rock;845.52
ALBERT BARANOV;Los Angeles;2031.12
ALBERT BONDARENKO;Los Angeles;1657.76
ALBERT CHERNOV;Daytona Beach;695.76
ALBERT CHERNOV;Louisville;1188.72
ALBERT EGOROV;Mojave;1979.12
ALBERT ILIN;Albany;2363.92
ALBERT ISAEV;Louisville;593.84
ALBERT KRASNOV;Venice;1633.84
ALBERT MOISEEV;Atlanta;1633.84
ALBERT NAZAROV;Baton Rouge;110.24
ALBERT NOVIKOV;San Bernardino;659.36
ALBERT PETROV;Los Angeles;828.88
ALBERT POPOV;Las Vegas;297.44
ALBERT SAVELEV;Atlanta;326.56
ALBERT SCHERBAKOV;Memphis;510.64
ALBERT SCHERBAKOV;Miami;1532.96
ALBERT SERGEEV;Fargo;298.48
ALBERT SIDOROV;Galveston;638.56
ALBERT SIDOROV;New York;416.00
ALBERT TARASOV;Chicago;1158.56
ALBERT VLASOV;Atlanta;326.56
ALBERT VOROBEV;Denver;1488.24
ALBERT YAKOVLEV;Idaho Falls;315.12
ALBERT ZAYCEV;Columbus;1119.04
ALBINA AFANASEVA;Columbus;998.40
ALBINA ALEKSANDROVA;Venice;1466.40
ALBINA ANDREEVA;Fargo;398.32
ALBINA ANDREEVA;Tampa;368.16
ALBINA ANISIMOVA;Atlanta;669.76
ALBINA BARANOVA;Los Angeles;828.88
ALBINA BOGDANOVA;Alamogordo;1032.72
ALBINA BOGDANOVA;Idaho Falls;600.08
ALBINA BORISOVA;Jacksonville;460.72
ALBINA BORISOVA;San Diego;243.36
ALBINA DANILOVA;Birmingham;2271.36
ALBINA DANILOVA;Chicago;385.84
ALBINA DAVYDOVA;Baton Rouge;219.44
ALBINA DENISOVA;Richmond;487.76
ALBINA DMITRIEVA;Albany;1272.96
ALBINA DMITRIEVA;Birmingham;3748.16
ALBINA ERMAKOVA;Charleston;1004.64
ALBINA ERMAKOVA;Columbus;1427.92
ALBINA FEDOROVA;Palm Springs;3654.56
ALBINA FILIPPOVA;Nashville;2757.04
ALBINA FOMINA;Daytona Beach;347.36
ALBINA GAVRILOVA;Washington;222.56
ALBINA GERASIMOVA;Richmond;729.04
ALBINA GORBUNOVA;Burlington;3550.56
